"id","participant_id","group_name","event_type","element_id","task_id","timestamp","metadata","session_start"
"1159","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:39:47.641582+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:39:47.507Z"",""timestamp"":""2026-06-22T07:39:47.507Z"",""pasted_length"":84,""pasted_content"":""Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1168","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:43:02.984914+00","{""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:43:02.869Z"",""timestamp"":""2026-06-22T07:43:02.869Z"",""pasted_length"":60,""pasted_content"":""Wie tief ist das Challenger Deep im Marianengraben ungefähr?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1133","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:27:56.851287+00","{""phase"":""part1"",""message"":""wie viel ist das in Pascal?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:27:56.660Z"",""message_index"":3}","2026-06-22 07:25:12.285+00"
"1132","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-end","source-link",,"2026-06-22 07:27:45.829986+00","{""url"":""https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re"",""phase"":""part1"",""domain"":""de.wikipedia.org"",""username"":""känguru"",""client_ts"":""2026-06-22T07:27:45.829Z"",""message_id"":""1782113251848"",""hover_duration_ms"":496}","2026-06-22 07:25:12.285+00"
"1163","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-end","highlight-source-seg_185",,"2026-06-22 07:40:25.657229+00","{""url"":""https://science.nasa.gov/venus/venus-facts/"",""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:40:25.541Z"",""message_id"":""1782113994854"",""hover_duration_ms"":11}","2026-06-22 07:25:12.285+00"
"1145","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:31:48.081866+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:31:47.894Z"",""timestamp"":""2026-06-22T07:31:47.894Z"",""pasted_length"":94,""pasted_content"":""Welches Produkt wurde 1974 als erstes mit einem UPC-Barcode an einer Supermarktkasse gescannt?"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1167","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:41:59.76007+00","{""phase"":""part2"",""message"":""Welchen Durchmesser hat der Primärspiegel des Hubble-Weltraumteleskops?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:41:59.852Z"",""message_index"":6}","2026-06-22 07:25:12.285+00"
"1162","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","highlight-source-seg_185",,"2026-06-22 07:40:25.647512+00","{""url"":""https://science.nasa.gov/venus/venus-facts/"",""phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:40:25.530Z"",""message_id"":""1782113994854""}","2026-06-22 07:25:12.285+00"
"1131","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-start","source-link",,"2026-06-22 07:27:45.548732+00","{""url"":""https://de.wikipedia.org/wiki/Standardatmosph%C3%A4re"",""phase"":""part1"",""domain"":""de.wikipedia.org"",""username"":""känguru"",""client_ts"":""2026-06-22T07:27:45.333Z"",""message_id"":""1782113251848""}","2026-06-22 07:25:12.285+00"
"1137","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","copy","message-1782113346423",,"2026-06-22 07:29:56.16328+00","{""phase"":""part1"",""length"":316,""username"":""känguru"",""client_ts"":""2026-06-22T07:29:55.992Z"",""text_preview"":""Im Zentrum steht eine Situation, in der dieselbe Ausgangslage unterschiedlich beschrieben werden kann. Je nachdem, ob eine Gewinnchance als einzelne bekannte Farbe, als unbekannte Farbe oder als Kombi…""}","2026-06-22 07:25:12.285+00"
"1160","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:39:48.778164+00","{""phase"":""part2"",""message"":""Wie lange dauert eine vollständige Rotation der Venus um ihre eigene Achse ungefähr?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:39:48.848Z"",""message_index"":4}","2026-06-22 07:25:12.285+00"
"1128","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:26:34.084115+00","{""phase"":""part1"",""message"":""Welcher exakte Zahlenwert gehört seit der SI-Neudefinition zur Avogadro-Konstante?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:26:34.050Z"",""message_index"":1}","2026-06-22 07:25:12.285+00"
"1151","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","phase-advance","end-part1-button",,"2026-06-22 07:33:25.147555+00","{""group"":""beta"",""phase"":""part1"",""to_phase"":""part2"",""username"":""känguru"",""client_ts"":""2026-06-22T07:33:24.987Z"",""timestamp"":""2026-06-22T07:33:24.987Z"",""from_phase"":""part1""}","2026-06-22 07:25:12.285+00"
"1153","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","message-send","chat-input",,"2026-06-22 07:34:00.156255+00","{""phase"":""part2"",""message"":""Welcher exakte Zahlenwert definiert seit der SI-Neudefinition die Planck-Konstante h?"",""username"":""känguru"",""client_ts"":""2026-06-22T07:34:00.191Z"",""message_index"":1}","2026-06-22 07:25:12.285+00"
"1129","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","paste","chat-input",,"2026-06-22 07:27:23.526852+00","{""phase"":""part1"",""username"":""känguru"",""client_ts"":""2026-06-22T07:27:23.326Z"",""timestamp"":""2026-06-22T07:27:23.326Z"",""pasted_length"":55,""pasted_content"":""Welcher Druck entspricht einer Standardatmosphäre?\r\n\r\n*"",""input_length_before"":0}","2026-06-22 07:25:12.285+00"
"1150","c6acb088-6e37-4d2c-ad90-94a5d24ee095","beta","source-link-hover-end","source-link",,"2026-06-22 07:32:44.23474+00","{""url"":""https://de.wikipedia.org/wiki/Global_Positioning_System"",""phase"":""part1"",""domain"":""de.wikipedia.org"",""username"":""känguru"",""client_ts"":""2026-06-22T07:32:44.073Z"",""message_id"":""1782113552299"",""hover_duration_ms"":29}","2026-06-22 07:25:12.285+00"
